"id","Eastin","Northing","rawSignId","signsPhotoURL","sign1_category","sign1_direction","sign1_description","sign2_category","sign2_direction","sign2_description","sign3_category","sign3_direction","sign3_description","sign4_category","sign4_direction","sign4_description"
"031ece0f-4ecd-4c7e-8f4d-339d698155d8",331982.56118186,6258965.386789,207425,"https://s3-ap-southeast-2.amazonaws.com/data-collection.spotparking.com.au/production/raw-data-points/608aafa13de1c58a555ad8336c2a8c007f9f4c430830d6d496-md.jpg","No Stopping","both","","","","","","","","","",""
"4bf90ef7-f430-4ad9-b41d-2b2b4708c81e",331637.39013963,6258959.2980283,207973,"https://s3-ap-southeast-2.amazonaws.com/data-collection.spotparking.com.au/production/raw-data-points/2da8a9df9506208f7f1ec194340eb9b7f579927c6f5509f9f9-md.jpg","Bus Zone","right","","No Stopping","left","","","","","","",""
"6c307b6c-5ce4-48d4-a398-3c8e08a51c7d",331637.5138273,6258946.6406047,207974,"https://s3-ap-southeast-2.amazonaws.com/data-collection.spotparking.com.au/production/raw-data-points/9742594367bbf13578869cb86bf1215c2fb44a7a74e77c001a-md.jpg","Bus Zone","both","","","","","","","","","",""
"f3a7190d-20a3-48dc-bad7-f16636001f02",331637.10978093,6258933.443291,207975,"https://s3-ap-southeast-2.amazonaws.com/data-collection.spotparking.com.au/production/raw-data-points/ab5423440c307c5f538a14177342a6ebe0c75efb16b846b021-md.jpg","Bus Zone","left","","Bus Zone","right","","Loading Zone","right","7:30a - 12:00p Tu-W F","","",""
"48bd9d26-2c30-4b40-978f-50345cae7839",331637.75295678,6258917.9164514,207976,"https://s3-ap-southeast-2.amazonaws.com/data-collection.spotparking.com.au/production/raw-data-points/da5a5e27b7b702fdffd2dcc7149c851d82ef4b2e1544ed19de-md.jpg","No Stopping","right","","Bus Zone","left","","Loading Zone","left","7:30a - 12:00p Tu-W F","","",""
"78488b57-6e72-45fa-b0a6-8a3bfef47dd9",331935.55162353,6258973.085222,207418,"https://s3-ap-southeast-2.amazonaws.com/data-collection.spotparking.com.au/production/raw-data-points/93a8a3759ffda22f2c31688901e5ea2007868254b9615db6a7-md.jpg","No Stopping","both","","","","","","","","","",""
"22c6affb-5369-463d-993d-3aa719e930a6",331937.9841476,6258967.2564084,207419,"https://s3-ap-southeast-2.amazonaws.com/data-collection.spotparking.com.au/production/raw-data-points/3dd40d4aa403e609e7dd50a2a5603296a5c636f0e6adea61c2-md.jpg","No Stopping","left","","Loading Zone","right","6:00a - 9:00a","No Stopping","right","","Bus Zone","right","9:00a - 3:30p M-F"
"ed9c0b16-5187-46f8-969d-9cf8f2bf998c",331941.48863143,6258957.6583621,207420,"https://s3-ap-southeast-2.amazonaws.com/data-collection.spotparking.com.au/production/raw-data-points/4410c05958a5518180f9a22cf0a96c4b6819ea95055261ed74-md.jpg","Mail Zone","right","","No Stopping","left","","Loading Zone","left","6:00a - 9:00a","Bus Zone","left","9:00a - 3:30p M-F"
"5541f182-986d-4a20-a815-941d7283bd0a",331331.21369508,6258859.578326,211579,"https://s3-ap-southeast-2.amazonaws.com/data-collection.spotparking.com.au/production/raw-data-points/fdcf30a8bf7476096ba05f5343f64ac48546e0d8fe53bd076e-md.jpg","No Parking","both","","Clearway","both","6:00a - 7:00p M-F; 9:00a - 6:00p Sa-Su inc. Public Holidays, Inferred","","","","","",""
"9b6cc070-d66b-45ab-8998-b9b89c6941e2",331322.29993739,6258903.2494368,211580,"https://s3-ap-southeast-2.amazonaws.com/data-collection.spotparking.com.au/production/raw-data-points/138138850c5204beeb6caaf0fe648669b4c5ec4f2f64b3f4ab-md.jpg","No Stopping","right","","No Parking","left","","Clearway","both","6:00a - 7:00p M-F; 9:00a - 6:00p Sa-Su inc. Public Holidays, Inferred","","",""
"50ba7b60-2c11-4a35-9265-b5026e627df4",331322.54731272,6258940.5218502,211581,"https://s3-ap-southeast-2.amazonaws.com/data-collection.spotparking.com.au/production/raw-data-points/bf721139e7468129a1a82688b44bf0090ebc146fbbe27df932-md.jpg","No Stopping","both","","","","","","","","","",""
"775b55e1-90e3-4ab5-868e-a9d09980b8c6",332083.93559164,6259344.7795647,207076,"https://s3-ap-southeast-2.amazonaws.com/data-collection.spotparking.com.au/production/raw-data-points/7042f271c4cf065d51f8be06b5f846329941243ce04ea64d0e-md.jpg","No Parking","left","","Metered Parking","right","Max Dur. 4 hours 8:30a - 6:00p","","","","","",""
"3dc930b3-e658-4aab-9f8c-00a0133bcc4e",332111.2375821,6259356.5571674,207077,"https://s3-ap-southeast-2.amazonaws.com/data-collection.spotparking.com.au/production/raw-data-points/edf61b9609d8b21cfdba4697fe8aa55c5362385efa491b3d2a-md.jpg","No Stopping","right","","Metered Parking","left","Max Dur. 4 hours 8:30a - 6:00p","","","","","",""
"82d19c2e-7466-48a2-b693-db6eaf3bd9a9",331782.98701237,6259006.448431,206836,"https://s3-ap-southeast-2.amazonaws.com/data-collection.spotparking.com.au/production/raw-data-points/1e6c38129122b5cca8f290787d16a3e4a9fde4e3baf7b2d426-md.jpg","No Stopping","both","","","","","","","","","",""
"e2b42b36-084e-4b4e-a92d-48bfc17c4714",331761.02832901,6258713.2081192,214959,"https://s3-ap-southeast-2.amazonaws.com/data-collection.spotparking.com.au/production/raw-data-points/inserted_datapoint-md.jpg","","","","","","","","","","","",""
"bd96ac2d-8b99-4fc8-9b00-67d96e3a5478",331855.53395048,6258967.0264552,206840,"https://s3-ap-southeast-2.amazonaws.com/data-collection.spotparking.com.au/production/raw-data-points/ba9886cfcadfd6baec5dbb5b3770a46ce3cebf4e0ad1161595-md.jpg","Bus Zone","left","","No Stopping","right","","","","","","",""
"0764a177-b0aa-41fc-95d2-ab70c7c3518f",331879.61181583,6258972.6653075,206841,"https://s3-ap-southeast-2.amazonaws.com/data-collection.spotparking.com.au/production/raw-data-points/695405592f1f38ea07ed2c746132ef1937f9e2ac3b4a85ddf4-md.jpg","Bus Zone","right","","No Stopping","left","","","","","","",""
"57a246c0-2177-45fd-8489-1dd34e4154c9",331921.29455874,6258988.9319964,206842,"https://s3-ap-southeast-2.amazonaws.com/data-collection.spotparking.com.au/production/raw-data-points/3c312e7a1985132dac5d0bef1ad069966be68f50ffd0a38c41-md.jpg","No Stopping","both","","","","","","","","","",""
"c50c80ad-8ed3-47ec-9633-e4dbed8a8962",331937.65431383,6258995.4206757,206843,"https://s3-ap-southeast-2.amazonaws.com/data-collection.spotparking.com.au/production/raw-data-points/423e55db6f7b28aefec5cbc226447f801ab490115cfaffbea8-md.jpg","No Stopping","both","","","","","","","","","",""
"51e6f5f3-c86d-4e18-9984-fb1253bcdb0a",331960.46231915,6259004.9187424,206844,"https://s3-ap-southeast-2.amazonaws.com/data-collection.spotparking.com.au/production/raw-data-points/a3013caa36392fd7ee93473da6545356a15af4ffc5ecafdac8-md.jpg","No Stopping","both","","","","","","","","","",""
"6c89eb3e-a86e-4569-b2b6-58d346cb3077",331985.31529386,6259013.4570044,206845,"https://s3-ap-southeast-2.amazonaws.com/data-collection.spotparking.com.au/production/raw-data-points/66ebfda2a5b21a85553eaf47f4c084f69c049d0db722fa56c3-md.jpg","No Stopping","both","","","","","","","","","",""
"01bded12-b9d1-46b8-9187-56358d7229f4",331859.50020159,6258774.5156402,206860,"https://s3-ap-southeast-2.amazonaws.com/data-collection.spotparking.com.au/production/raw-data-points/7407b2e04fa347da892e16c258388f21f6da1c05679f46dcbc-md.jpg","No Stopping","right","Taxis, Exception Duration Limit: 1","No Stopping","left","","","","","","",""
"bc5f5644-1ba7-4134-bb4f-2887fc9fab0f",331834.66371857,6258764.7576265,206862,"https://s3-ap-southeast-2.amazonaws.com/data-collection.spotparking.com.au/production/raw-data-points/6fa077a66719d141e3e341a81e081cca7fdd12e90a7b614873-md.jpg","No Stopping","left","Taxis, Exception Duration Limit: 1","No Stopping","right","","","","","","",""
"be2457a5-573a-4830-86cc-4d405df42798",331799.55291356,6258750.05062,206863,"https://s3-ap-southeast-2.amazonaws.com/data-collection.spotparking.com.au/production/raw-data-points/d172265c72be4cfb86248eef3c9ed4c3291b2722539a90c965-md.jpg","No Stopping","both","","","","","","","","","",""
"1c897fe6-8e70-4d1b-95ab-446fdb66d801",331741.27953192,6258462.3791747,206881,"https://s3-ap-southeast-2.amazonaws.com/data-collection.spotparking.com.au/production/raw-data-points/f001eb3c3cf21658d1e4c2dff94344efeeab3a29f9a20a1ccc-md.jpg","No Stopping","left","","Restricted Parking","right","Max Dur. 30 minutes 8:30a - 6:00p, Buses Exempt","","","","","",""
"3d88f0c4-5e2d-4f2c-b35e-a8445f2b7254",331719.30435687,6258453.4409941,206882,"https://s3-ap-southeast-2.amazonaws.com/data-collection.spotparking.com.au/production/raw-data-points/605559b86591358f8223f178a4312f09cf68ef83ef25158856-md.jpg","Restricted Parking","both","Max Dur. 30 minutes 8:30a - 6:00p, Buses Exempt","","","","","","","","",""
"ae791c8d-3d8e-47b8-8f35-9ff0eb54a813",331692.48887122,6258440.6635949,206883,"https://s3-ap-southeast-2.amazonaws.com/data-collection.spotparking.com.au/production/raw-data-points/619d74d8519b1c661dca8b4a0e491b7e41ce15555e6fa933bf-md.jpg","Disabled Parking","right","","Restricted Parking","left","Max Dur. 30 minutes 8:30a - 6:00p, Buses Exempt","","","","","",""
"e523ffa0-e0fa-4fb6-ba6c-c2562ad6c4fd",331679.44394554,6258435.4346592,206884,"https://s3-ap-southeast-2.amazonaws.com/data-collection.spotparking.com.au/production/raw-data-points/942b70f44dc0889633b8667eb53bdc6441bf8e6d7706127c0f-md.jpg","Disabled Parking","left","","No Stopping","right","","","","","","",""
"8b227542-136f-403e-905a-7e081fd25606",331322.10203713,6258835.6731918,211570,"https://s3-ap-southeast-2.amazonaws.com/data-collection.spotparking.com.au/production/raw-data-points/c9a3c6e751096a1d806d3087941d2f6b658472222e226b57b8-md.jpg","No Stopping","both","","","","","","","","","",""
"3c43bdd2-b710-48dc-85f3-e4bd3b70dd62",331300.34949988,6258828.8745756,211571,"https://s3-ap-southeast-2.amazonaws.com/data-collection.spotparking.com.au/production/raw-data-points/acd4bbabb8d20369bd47aad9b604d47f18a4fd62b6d72ca85e-md.jpg","No Stopping","both","","","","","","","","","",""
"ccfd685e-9411-420e-8740-34fa9474b04c",331267.28366425,6258819.07657,211572,"https://s3-ap-southeast-2.amazonaws.com/data-collection.spotparking.com.au/production/raw-data-points/99c8d2a701da60e7782d76d3711a7dcefe31eef11c54a51ed4-md.jpg","No Stopping","both","","","","","","","","","",""
"58a276b8-e997-4e3a-83a6-3dffb1e33c0e",331939.89718348,6259288.0911034,207004,"https://s3-ap-southeast-2.amazonaws.com/data-collection.spotparking.com.au/production/raw-data-points/b75bc827520050368a4df3e16459ed4a5b35307fb4ffdf9c67-md.jpg","Restricted Parking","right","Max Dur. 2 hours 8:30a - 6:00p M-F; Max Dur. 2 hours 8:30a - 12:30p Sa, No Of Driveways: 4","No Stopping","left","","","","","","",""
"d80a7395-d00b-44b6-b32a-85cbf6bcfb87",331965.02227105,6259298.199046,207005,"https://s3-ap-southeast-2.amazonaws.com/data-collection.spotparking.com.au/production/raw-data-points/a323cba8f4b6ce2592fc9ac0734588888fffe92b1552b8bdf7-md.jpg","Restricted Parking","both","Max Dur. 2 hours 8:30a - 6:00p M-F; Max Dur. 2 hours 8:30a - 12:30p Sa, No Of Driveways: 4","","","","","","","","",""
"45f19a71-7c38-4448-8c64-c5affdd2995a",331980.08742858,6259304.5677497,207006,"https://s3-ap-southeast-2.amazonaws.com/data-collection.spotparking.com.au/production/raw-data-points/e26a2c831db28ecaa763b3091e6bd80b7eb5e718aa6603bbdb-md.jpg","Restricted Parking","right","Max Dur. 10 minutes 8:30a - 6:00p M-F; Max Dur. 10 minutes 8:30a - 12:30p Sa","Restricted Parking","left","Max Dur. 2 hours 8:30a - 6:00p M-F; Max Dur. 2 hours 8:30a - 12:30p Sa, No Of Driveways: 4","","","","","",""
"acd00d53-0a6a-4aa2-989e-4b534efcd0db",331989.38874094,6259308.167017,207007,"https://s3-ap-southeast-2.amazonaws.com/data-collection.spotparking.com.au/production/raw-data-points/2d386e7c6bd199138f6320f43c593941b0c8259fda84505962-md.jpg","Restricted Parking","left","Max Dur. 10 minutes 8:30a - 6:00p M-F; Max Dur. 10 minutes 8:30a - 12:30p Sa","Restricted Parking","right","Max Dur. 2 hours 8:30a - 6:00p M-F; Max Dur. 2 hours 8:30a - 12:30p Sa, No Of Driveways: 3","","","","","",""
"7a46eb29-e9ac-46c3-8ef1-94b23bdbc95c",332007.33994397,6259315.1355986,207008,"https://s3-ap-southeast-2.amazonaws.com/data-collection.spotparking.com.au/production/raw-data-points/94886a97ad74cf695b9ef7fa418835ff95fc7e97ded4e11e4a-md.jpg","Restricted Parking","both","Max Dur. 2 hours 8:30a - 6:00p M-F; Max Dur. 2 hours 8:30a - 12:30p Sa, No Of Driveways: 3","","","","","","","","",""
"be29a86d-daf6-4430-beeb-7788c098750f",332027.64121263,6259323.023993,207009,"https://s3-ap-southeast-2.amazonaws.com/data-collection.spotparking.com.au/production/raw-data-points/97e386d0860066d6d964d16d3f5c56890c8aca9effeb931b64-md.jpg","No Stopping","right","","","","","","","","","",""
"b288faef-fe76-4018-94ae-b0df33dac2ef",331237.40072452,6258994.4908649,211584,"https://s3-ap-southeast-2.amazonaws.com/data-collection.spotparking.com.au/production/raw-data-points/6ec5cea51c6347c053347ba277b6de3f88d31d1f927cfb2d19-md.jpg","No Parking","both","","No Stopping","both","6:00a - 10:00a M-F","","","","","",""
"74ae2296-a8ff-416f-a501-9d04e58c8bb1",331217.93228614,6258996.460464,211585,"https://s3-ap-southeast-2.amazonaws.com/data-collection.spotparking.com.au/production/raw-data-points/4303da7aba8cf0f510596cd91c1279515133568ab8df52f5d6-md.jpg","No Parking","left","","No Stopping","right","","No Stopping","left","6:00a - 10:00a M-F","","",""
"c6495df2-e5cd-462f-a151-cf4030f5a8f2",331407.51249235,6258592.922603,211533,"https://s3-ap-southeast-2.amazonaws.com/data-collection.spotparking.com.au/production/raw-data-points/db2308e3fc1e1f669110866135ddb06892afe99f45f4132410-md.jpg","No Stopping","both","","","","","","","","","",""
"b764958f-58fe-4927-a4fe-e0bbd61dd2fc",331379.81470136,6258588.7834455,211534,"https://s3-ap-southeast-2.amazonaws.com/data-collection.spotparking.com.au/production/raw-data-points/d43cdfc8c3fd4b0b3ff5f091a5f1a1360de3d336fca0787793-md.jpg","No Stopping","left","","","","","","","","","",""
"a53d9996-8f6d-4c56-a20f-8b338d5b1996",331310.51662589,6258580.3351651,211535,"https://s3-ap-southeast-2.amazonaws.com/data-collection.spotparking.com.au/production/raw-data-points/975567c78d7681920f95020cc11c485b7c3088cdc14bf396ae-md.jpg","No Parking","right","Council Vehicle","","","","","","","","",""
"5f5df082-3cf5-4d0b-8371-c80f549f3c19",331305.1568271,6258579.6952954,211536,"https://s3-ap-southeast-2.amazonaws.com/data-collection.spotparking.com.au/production/raw-data-points/2e373632f65c43a0cfda04f3f474ac3139c9e906871337f806-md.jpg","No Stopping","right","","No Parking","left","Council Vehicle","","","","","",""
"91e4027f-43a4-48c4-901e-714f674ef7b5",332420.37428476,6258995.050751,205256,"https://s3-ap-southeast-2.amazonaws.com/data-collection.spotparking.com.au/production/raw-data-points/609ad0c5bdb006ea6010221b71f773cdde1fccba2f6a0c9552-md.jpg","No Stopping","left","","Unrestricted Parking","right","No Of Bays: 5","No Parking","right","4:30a - 6:30a F, Street Sweeping","","",""
"7f27ad0c-5156-438d-838a-6e456d84f69b",332397.77242555,6258985.6726598,205257,"https://s3-ap-southeast-2.amazonaws.com/data-collection.spotparking.com.au/production/raw-data-points/5ba26138136497fe6bc4e170eefc87d29878a6c43bf711ae64-md.jpg","No Parking","right","","Unrestricted Parking","left","No Of Bays: 5","No Parking","left","4:30a - 6:30a F, Street Sweeping","","",""
"f0242e99-d7c6-40f7-a081-385698d6bd1a",332381.68478333,6258979.064005,205258,"https://s3-ap-southeast-2.amazonaws.com/data-collection.spotparking.com.au/production/raw-data-points/0652da4bbeadec757e73fece44ca8fac17e43f25ed40766ae9-md.jpg","No Parking","left","","No Stopping","right","","","","","","",""
"b547cec9-94b9-4e6c-8525-e4ae3c0497d8",331951.76295342,6258679.4049997,207130,"https://s3-ap-southeast-2.amazonaws.com/data-collection.spotparking.com.au/production/raw-data-points/69161e874b6a1c99f78c99a6ec2628068a142879c9096a44d7-md.jpg","No Stopping","right","","No Parking","left","Exception Duration Limit: 5, Pickup Dropoff","","","","","",""
"97e7005a-809b-4852-befd-ac6af835a65c",331930.34024994,6258671.046701,207131,"https://s3-ap-southeast-2.amazonaws.com/data-collection.spotparking.com.au/production/raw-data-points/ef679379cebe9d00522b9930d6a6d073fdbc35dfa745e3e88d-md.jpg","No Parking","right","Exception Duration Limit: 5, Pickup Dropoff","No Stopping","left","","","","","","",""
"26be5176-85f6-4992-a170-3cb278b78130",331436.34820985,6258523.4467446,211515,"https://s3-ap-southeast-2.amazonaws.com/data-collection.spotparking.com.au/production/raw-data-points/ca9bb29d8a735cdbf904776ca38a274e5ff8ed9d90d4b00a49-md.jpg","No Stopping","left","","No Parking","right","6:30a - 6:30p M-F; 6:30a - 12:30p Sa","","","","","",""
